NOGRID,LON,LAT,b20,b50,b100,b150,a20,a50,a100,a150,a200,a300
144185,116.5,-8.9,7.8431,21.5686,54.902,74.5098,92.1569,78.4314,45.098,25.4902,7.8431,0
144521,116.55,-8.9,7.8431,31.3725,56.8627,80.3922,92.1569,68.6275,43.1373,19.6078,5.8824,0
145865,116.75,-8.9,5.8824,29.4118,60.7843,84.3137,94.1176,70.5882,39.2157,15.6863,5.8824,0
146201,116.8,-8.9,5.8824,31.3725,64.7059,90.1961,94.1176,68.6275,35.2941,9.8039,5.8824,0
146537,116.85,-8.9,5.8824,29.4118,64.7059,90.1961,94.1176,70.5882,35.2941,9.8039,5.8824,0
146873,116.9,-8.9,5.8824,35.2941,64.7059,90.1961,94.1176,64.7059,35.2941,9.8039,1.9608,0
147209,116.95,-8.9,5.8824,37.2549,64.7059,92.1569,94.1176,62.7451,35.2941,7.8431,1.9608,0
147545,117,-8.9,5.8824,35.2941,64.7059,92.1569,94.1176,64.7059,35.2941,7.8431,0,0
147881,117.05,-8.9,5.8824,37.2549,64.7059,92.1569,94.1176,62.7451,35.2941,7.8431,0,0
148217,117.1,-8.9,5.8824,35.2941,64.7059,92.1569,94.1176,64.7059,35.2941,7.8431,0,0
148553,117.15,-8.9,5.8824,33.3333,64.7059,92.1569,94.1176,66.6667,35.2941,7.8431,0,0
148889,117.2,-8.9,5.8824,31.3725,64.7059,92.1569,94.1176,68.6275,35.2941,7.8431,0,0
149225,117.25,-8.9,5.8824,29.4118,64.7059,90.1961,94.1176,70.5882,35.2941,9.8039,0,0
149561,117.3,-8.9,5.8824,29.4118,64.7059,86.2745,94.1176,70.5882,35.2941,13.7255,1.9608,0
149897,117.35,-8.9,5.8824,23.5294,62.7451,84.3137,94.1176,76.4706,37.2549,15.6863,3.9216,0
150233,117.4,-8.9,5.8824,23.5294,60.7843,84.3137,94.1176,76.4706,39.2157,15.6863,5.8824,0
